"x","y","topics","Freq","cluster"
"-0.08986623","-0.154302","1","2.716164","1"
"0.2221036","-0.09233718","2","1.734956","1"
"0.1112342","-0.04705447","3","1.292789","1"
"-0.08699368","-0.1000663","4","1.274606","1"
"0.01654831","0.1278949","5","1.134894","1"
"-0.1999051","-0.1405842","6","0.904375","1"
"0.09396783","0.08258829","7","0.8845007","1"
"0.1345666","-0.004121993","8","0.8153934","1"
"-0.1421142","-0.00165474","9","0.7941607","1"
"0.2403359","-0.1100057","10","0.7854717","1"
"-0.1314702","-0.09428327","11","0.775342","1"
"0.03850791","-0.09674528","12","0.7674177","1"
"-0.1437082","-0.1138373","13","0.7419436","1"
"-0.1642519","-0.06281772","14","0.7410222","1"
"-0.146424","-0.06795628","15","0.7037226","1"
"0.1017676","-0.07493507","16","0.6914261","1"
"-0.06215328","-0.007630448","17","0.6698616","1"
"0.01610052","-0.0939486","18","0.6687771","1"
"-0.0186888","-0.02830728","19","0.6373507","1"
"0.04139022","0.02574582","20","0.6195067","1"
"-0.04456273","-0.08116856","21","0.5853563","1"
"-0.136464","-0.01987937","22","0.5771776","1"
"-0.03639436","-0.09586367","23","0.564327","1"
"-0.02558693","-0.04880318","24","0.5498572","1"
"0.08842306","0.02861019","25","0.5441249","1"
"-0.07368881","-0.05302202","26","0.5220634","1"
"-0.01588889","-0.03526557","27","0.5171589","1"
"0.03344182","-0.01197458","28","0.4993137","1"
"0.1177896","-0.04470573","29","0.4880207","1"
"-0.06281329","-0.009296","30","0.4813258","1"
"0.06058734","0.05428289","31","0.4655858","1"
"-0.06073644","0.1092308","32","0.4582793","1"
"-0.008800981","0.03430133","33","0.4491744","1"
"-0.1228529","-0.009980397","34","0.4438292","1"
"0.1492004","-0.09926925","35","0.4325142","1"
"0.08730198","0.04288277","36","0.4321867","1"
"-0.1205902","-0.04186165","37","0.4319955","1"
"0.04195555","-0.08466619","38","0.42549","1"
"-0.08596341","-0.00689654","39","0.424877","1"
"0.02250179","-0.02103655","40","0.4150602","1"
"-0.08775851","-0.02230396","41","0.4098176","1"
"0.03599596","0.1127816","42","0.4033107","1"
"0.06722868","-0.07225324","43","0.3979058","1"
"-0.05716264","0.02071035","44","0.3858288","1"
"0.07444654","0.006195696","45","0.3777349","1"
"0.1687756","-0.09697669","46","0.375965","1"
"0.1644591","-0.07180196","47","0.3731387","1"
"-0.07829803","-0.03661963","48","0.3725658","1"
"-0.01592243","0.0671379","49","0.3688649","1"
"0.05919103","-0.08401187","50","0.3613356","1"
"-0.003028811","-0.04891368","51","0.3554844","1"
"-0.186509","-0.1015685","52","0.354137","1"
