x,y,topics,Freq,cluster
-0.08699368,-0.1000663,4,1.274606,1
0.09396783,0.08258829,7,0.8845007,1
0.2403359,-0.1100057,10,0.7854717,1
0.03850791,-0.09674528,12,0.7674177,1
-0.136464,-0.01987937,22,0.5771776,1
-0.03639436,-0.09586367,23,0.564327,1
-0.02558693,-0.04880318,24,0.5498572,1
-0.07368881,-0.05302202,26,0.5220634,1
-0.008800981,0.03430133,33,0.4491744,1
-0.08596341,-0.00689654,39,0.424877,1
-0.08775851,-0.02230396,41,0.4098176,1
0.03599596,0.1127816,42,0.4033107,1
-0.01592243,0.0671379,49,0.3688649,1
0.1420717,-0.1178342,55,0.3464324,1
0.1114196,-0.06455967,56,0.3435143,1
0.1235289,0.04063508,57,0.3402046,1
0.007802308,0.1048585,63,0.3199859,1
0.00265751,0.04176769,68,0.3067389,1
-0.05960391,-0.06936309,70,0.3011553,1
-0.08969241,-0.004129897,73,0.2931182,1
0.03146849,0.08621976,75,0.2902407,1
-0.03539486,-0.03130518,81,0.2814902,1
0.08136619,0.06396366,86,0.2772359,1
-0.06637725,-0.06975888,89,0.2732712,1
0.07140863,0.01748289,99,0.2588392,1
0.1223467,-0.09119372,102,0.2537709,1
-0.0773416,-0.064239,103,0.253629,1
0.1095375,-0.02469682,111,0.2486269,1
0.03823097,0.03020505,115,0.2464833,1
-0.08522582,-0.05651134,119,0.2429264,1
0.08685315,-0.07731237,124,0.2383122,1
0.1785966,-0.09838623,134,0.2272178,1
-0.1213006,-0.09138661,135,0.226385,1
0.09257015,-0.09060523,136,0.2247486,1
0.02786465,-0.1304654,137,0.2243233,1
0.02025714,0.2297603,138,0.2241642,1
0.07265803,-0.04320818,141,0.2229389,1
-0.09849394,0.00123662,143,0.2219315,1
-0.05908545,-0.0422087,145,0.2198531,1
0.01018415,0.07945251,148,0.2190481,1
-0.07411364,0.008782767,149,0.2183352,1
-0.1211409,0.0118294,152,0.2169343,1
0.1651539,-0.07488564,154,0.2159786,1
-0.000275,0.00932088,157,0.2149605,1
-0.01362014,0.07807272,167,0.2050496,1
-0.08065631,-0.03125916,168,0.2049137,1
-0.02440168,0.04403386,170,0.2036538,1
-0.1275528,-0.004141113,175,0.201836,1
-0.1019016,0.08559035,176,0.2010009,1
-0.05067914,0.0556155,177,0.200264,1
-0.04490898,-0.1030779,189,0.1957685,1
0.001538744,-0.08865032,191,0.1944527,1
-0.09948233,-0.02548901,196,0.1929732,1
-0.02013932,-0.07738374,200,0.1900424,1
0.1832534,-0.04377461,202,0.1897021,1
-0.06742825,-0.04563469,206,0.1884284,1
-0.04560605,0.1854,210,0.1867154,1
-0.09967744,0.04817639,212,0.1856064,1
0.07138217,-0.0440031,216,0.182974,1
-0.02840443,-0.008997749,220,0.1793766,1
0.01737722,-0.03581867,222,0.1790673,1
0.003871456,0.1492215,225,0.1764668,1
-0.03418621,0.1837677,227,0.1762377,1
0.08261241,-0.05765799,228,0.1762287,1
0.03361023,-0.02446613,234,0.1747639,1
-0.002354305,-0.01035649,237,0.1743616,1
0.01185588,0.1063138,242,0.1730789,1
-0.01790255,-0.06091653,244,0.1724605,1
0.08326414,-0.0839513,245,0.1724501,1
-0.07049182,0.08523728,247,0.172045,1
0.02356509,0.03824759,254,0.1708985,1
0.03330104,0.01993171,259,0.1704199,1
-0.01047218,0.1600474,270,0.1679208,1
0.14139,0.1552751,275,0.1669399,1
-0.0358132,0.1654773,285,0.1650765,1
-0.04279542,0.01448369,289,0.1638469,1
-0.008488232,-0.0104046,293,0.1618838,1
-0.08646964,-0.04230181,295,0.1613153,1
0.07324934,-0.02891455,303,0.15811,1
-0.03638142,0.006928148,308,0.1568454,1
-0.03974288,-0.0127524,315,0.1548974,1
-0.05647078,0.07327708,327,0.1470336,1
-0.1213956,-0.09338578,332,0.1456757,1
0.05208427,0.0547919,323,0.1496407,1
0.1723531,0.01388519,330,0.1458747,1
